t,o,h,l,c
1636961700,1.14554,1.14554,1.14536,1.14536
1636962000,1.14538,1.14549,1.14531,1.14541
1636962300,1.14542,1.14556,1.14532,1.1454
1636962600,1.14541,1.14541,1.14513,1.14513
1636962900,1.14514,1.14514,1.14485,1.14496
1636963200,1.14498,1.14501,1.14453,1.14479
1636963500,1.1448,1.14491,1.1446,1.14475
1636963800,1.14477,1.14505,1.14473,1.14497
1636964100,1.14496,1.14514,1.14475,1.1451
1636964400,1.1451,1.14521,1.14491,1.1451
1636964700,1.1451,1.14522,1.14485,1.14503
1636965000,1.14501,1.14539,1.14484,1.14484
1636965300,1.14481,1.14481,1.14434,1.1444
1636965600,1.14443,1.14444,1.14364,1.14368
1636965900,1.14369,1.14415,1.14367,1.14405
1636966200,1.14408,1.14461,1.14407,1.14455
1636966500,1.14456,1.14486,1.14448,1.14483
1636966800,1.14482,1.14489,1.14448,1.14487
1636967100,1.14486,1.14508,1.14483,1.14483
1636967400,1.14484,1.14501,1.14471,1.14487
1636967700,1.14485,1.14491,1.14469,1.14488
1636968000,1.14488,1.1449,1.14454,1.14459
1636968300,1.14461,1.14486,1.14461,1.14478
1636968600,1.14479,1.145,1.14463,1.14487
1636968900,1.14488,1.14526,1.14485,1.14519
1636969200,1.14519,1.14531,1.14507,1.14529
1636969500,1.14532,1.14535,1.14472,1.14479
1636969800,1.1448,1.14509,1.14479,1.14493
1636970100,1.14492,1.14497,1.14465,1.1448
1636970400,1.14479,1.14486,1.14465,1.1447
1636970700,1.14471,1.14494,1.14443,1.14479
1636971000,1.14478,1.14482,1.14449,1.14457
1636971300,1.14459,1.1446,1.1444,1.14455
1636971600,1.14456,1.14504,1.1445,1.14504
1636971900,1.14503,1.14514,1.14496,1.145
1636972200,1.14499,1.14561,1.14499,1.14536
1636972500,1.14535,1.1454,1.14498,1.14507
1636972800,1.14508,1.14521,1.14488,1.14507
1636973100,1.14506,1.14526,1.14487,1.14515
1636973400,1.14519,1.14521,1.14488,1.14494
1636973700,1.14495,1.14498,1.14457,1.14473
1636974000,1.14473,1.14499,1.1446,1.14484
1636974300,1.14485,1.145,1.14464,1.14499
1636974600,1.14499,1.14499,1.1446,1.14478
1636974900,1.14477,1.14499,1.14461,1.14487
1636975200,1.14486,1.14487,1.14428,1.14438
1636975500,1.1444,1.14453,1.14421,1.14422
1636975800,1.14422,1.14456,1.14419,1.14454
1636976100,1.14453,1.14464,1.14422,1.14463
1636976400,1.14462,1.14497,1.14455,1.14493
1636976700,1.14491,1.14519,1.14488,1.14504
1636977000,1.14503,1.14535,1.14487,1.14531
1636977300,1.14534,1.14549,1.14497,1.14497
1636977600,1.14498,1.14509,1.14472,1.14472
1636977900,1.14471,1.1448,1.14457,1.14468
1636978200,1.14469,1.14496,1.14466,1.14483
1636978500,1.14484,1.1451,1.14473,1.1451
1636978800,1.14512,1.1453,1.14498,1.14501
1636979100,1.145,1.14507,1.14493,1.14498
1636979400,1.14499,1.14539,1.14494,1.14523
1636979700,1.14524,1.14529,1.14478,1.14479
1636980000,1.14481,1.14498,1.14479,1.14481
1636980300,1.14481,1.14499,1.14461,1.14462
1636980600,1.14463,1.14468,1.14445,1.14457
1636980900,1.14456,1.14456,1.14399,1.14404
1636981200,1.14403,1.14444,1.14396,1.14427
1636981500,1.14424,1.14443,1.14422,1.1444
1636981800,1.1444,1.14459,1.14433,1.14436
1636982100,1.14437,1.14474,1.14427,1.14445
1636982400,1.14444,1.14466,1.14437,1.1445
1636982700,1.14449,1.14477,1.14444,1.1446
1636983000,1.1446,1.14462,1.1442,1.14433
1636983300,1.14431,1.14448,1.14422,1.14437
1636983600,1.14437,1.14446,1.14414,1.14437
1636983900,1.14435,1.14435,1.14389,1.14422
1636984200,1.14424,1.14461,1.14422,1.14452
1636984500,1.14453,1.14459,1.14435,1.14453
1636984800,1.14453,1.14457,1.14407,1.14424
1636985100,1.14425,1.14449,1.1439,1.14391
1636985400,1.14392,1.14405,1.14337,1.14384
1636985700,1.14383,1.144,1.14357,1.14361
1636986000,1.14359,1.14399,1.14343,1.14382
1636986300,1.14381,1.14406,1.14376,1.14392
1636986600,1.14393,1.14437,1.14352,1.14357
1636986900,1.14358,1.14408,1.14349,1.14401
1636987200,1.14399,1.14404,1.14378,1.14393
1636987500,1.14394,1.14415,1.14367,1.1439
1636987800,1.14389,1.1441,1.14378,1.14384
1636988100,1.14383,1.14398,1.1434,1.14373
1636988400,1.14371,1.1443,1.14371,1.14403
1636988700,1.14403,1.14403,1.14308,1.14364
1636989000,1.14365,1.14447,1.14357,1.1442
1636989300,1.14421,1.14422,1.14357,1.14363
1636989600,1.14363,1.14396,1.1434,1.14352
1636989900,1.14356,1.14381,1.14312,1.14319
1636990200,1.14317,1.14324,1.14246,1.14264
1636990500,1.14264,1.14286,1.14206,1.14213
1636990800,1.14216,1.14235,1.14181,1.14214
1636991100,1.14212,1.14231,1.14205,1.14227
1636991400,1.14225,1.14264,1.14175,1.14185
1636991700,1.14185,1.14224,1.14181,1.14198
1636992000,1.14197,1.14206,1.14156,1.14188
1636992300,1.14185,1.14197,1.14148,1.14152
1636992600,1.14153,1.14188,1.1415,1.14159
1636992900,1.14158,1.14208,1.14156,1.14196
1636993200,1.14197,1.14232,1.14194,1.14229
1636993500,1.14232,1.14236,1.14208,1.14208
1636993800,1.14208,1.14235,1.14208,1.14229
1636994100,1.14232,1.14237,1.14196,1.14198
1636994400,1.14196,1.14198,1.14159,1.14168
1636994700,1.14166,1.14215,1.14163,1.14193
1636995000,1.14194,1.14194,1.14146,1.14168
1636995300,1.14167,1.14212,1.14154,1.14206
1636995600,1.14207,1.14208,1.14115,1.14159
1636995900,1.14161,1.14163,1.14113,1.14117
1636996200,1.14115,1.14131,1.14071,1.14101
1636996500,1.14101,1.14103,1.14056,1.14094
1636996800,1.14093,1.14105,1.13818,1.13821
1636997100,1.13824,1.13911,1.13796,1.13886
1636997400,1.13885,1.13902,1.13867,1.13895
1636997700,1.13894,1.13907,1.13845,1.13864
1636998000,1.13865,1.13881,1.13815,1.13832
1636998300,1.13831,1.13872,1.13829,1.13862
1636998600,1.13863,1.13877,1.13843,1.13853
1636998900,1.13851,1.13859,1.13805,1.13852
1636999200,1.1385,1.13873,1.13837,1.13849
1636999500,1.1385,1.1386,1.13816,1.13817
1636999800,1.13818,1.13843,1.13811,1.13842
1637000100,1.13843,1.1386,1.1381,1.13816
1637000400,1.13815,1.13817,1.13775,1.13806
1637000700,1.1381,1.13854,1.13808,1.13853
1637001000,1.13853,1.13864,1.13839,1.13841
1637001300,1.13843,1.13843,1.13812,1.13819
1637001600,1.13821,1.13822,1.13795,1.13811
1637001900,1.13813,1.13834,1.13811,1.1383
1637002200,1.13832,1.13848,1.13822,1.13828
1637002500,1.13825,1.13845,1.13825,1.13842
1637002800,1.13843,1.1386,1.13839,1.13851
1637003100,1.1385,1.13865,1.13845,1.1386
1637003400,1.1386,1.13895,1.1386,1.13893
1637003700,1.13894,1.13896,1.13869,1.13887
1637004000,1.13889,1.13895,1.13866,1.13871
1637004300,1.13869,1.13893,1.13857,1.13893
1637004600,1.13892,1.13896,1.13884,1.13887
1637004900,1.13887,1.13887,1.13869,1.13871
1637005200,1.13869,1.13878,1.13866,1.13878
1637005500,1.13876,1.1388,1.13869,1.13873
1637005800,1.13875,1.13883,1.13865,1.13866
1637006100,1.13867,1.13885,1.13843,1.13852
1637006400,1.13854,1.13864,1.13814,1.13817
1637006700,1.13818,1.1383,1.13793,1.13804
1637007000,1.13802,1.13821,1.13798,1.13814
1637007300,1.13812,1.13822,1.13805,1.13814
1637007600,1.13815,1.13815,1.13741,1.13749
1637007900,1.1375,1.13754,1.13684,1.13691
1637008200,1.13692,1.13705,1.13641,1.13655
1637008500,1.13653,1.13669,1.13614,1.13645
1637008800,1.13644,1.13661,1.13641,1.13645
1637009100,1.13646,1.13653,1.13625,1.13628
1637009400,1.13625,1.13626,1.13608,1.1362
1637009700,1.13619,1.13619,1.13559,1.13597
1637010000,1.136,1.13625,1.136,1.13622
1637010300,1.1362,1.13658,1.13617,1.13657
1637010600,1.13656,1.13662,1.13628,1.13658
1637010900,1.13655,1.13693,1.13653,1.13688
1637011200,1.13688,1.13697,1.13667,1.13695
1637011500,1.13696,1.13697,1.13687,1.13694
1637011800,1.13693,1.13694,1.13681,1.13688
1637012100,1.1369,1.13713,1.1369,1.13711
1637012400,1.1371,1.13713,1.13705,1.13711
1637012700,1.13711,1.13711,1.13706,1.13708
1637013000,1.13708,1.1371,1.13682,1.13683
1637013300,1.13684,1.13685,1.1366,1.13669
1637013900,1.13682,1.13682,1.13676,1.13676
1637014200,1.13672,1.13672,1.13595,1.13608
1637014500,1.13597,1.13687,1.13597,1.13687
1637014800,1.13685,1.13685,1.13659,1.13659
1637015100,1.13657,1.13659,1.13626,1.13653
1637015400,1.13654,1.13667,1.13649,1.13656
1637015700,1.13653,1.13694,1.13653,1.13685
1637016000,1.13684,1.137,1.13636,1.13671
1637016300,1.13671,1.13676,1.13666,1.13671
1637016600,1.1367,1.13681,1.13667,1.13672
1637016900,1.13669,1.13672,1.1365,1.13661
1637017200,1.13661,1.13713,1.13661,1.13713
1637017500,1.13715,1.1372,1.13704,1.13717
1637017800,1.13716,1.13717,1.13707,1.13711
